dmc_code,name,rgb_hex
"782","Topaz Dark","AE7720"
"783","Topaz Medium","CE9D38"
"791","Cornflower Blue V D","464876"
"792","Cornflower Blue Dark","5B5F91"
"793","Cornflower Blue Med","7183AC"
"794","Cornflower Blue Lt","8FA4C4"
"796","Royal Blue Dark","11447E"
"797","Royal Blue","1E5298"
"798","Delft Blue Dark","4672A8"
"799","Delft Blue Medium","7497BD"
"800","Delft Blue Pale","C0D6EA"
"801","Coffee Brown Dk","5C3514"
"803","Baby Blue Ul Vy Dk","2C4D6D"
"806","Peacock Blue Dark","3C96A5"
"807","Peacock Blue","64AEBA"
"809","Delft Blue","94B4D1"
"813","Blue Light","A0C3DB"
"814","Garnet Dark","7B1931"
"815","Garnet Medium","871D37"
"816","Garnet","971B3A"
"817","Coral Red Very Dark","BB142E"
"818","Baby Pink","FFDEE3"
"819","Baby Pink Light","FFE9ED"
"820","Royal Blue Very Dark","0E3A6A"
"822","Beige Gray Light","E8E3D6"
"823","Navy Blue Dark","213348"
"824","Blue Very Dark","396C98"
"825","Blue Dark","4781AE"
"826","Blue Medium","6BA0C6"
"827","Blue Very Light","BDDDEE"
"828","Blue Ultra Vy Lt","C6E4F2"
"829","Golden Olive Vy Dk","826C26"
"830","Golden Olive Dk","907730"
"831","Golden Olive Med","AA8B36"
"832","Golden Olive","C49D2F"
"833","Golden Olive Lt","C9AC4D"
"834","Golden Olive Vy Lt","D9C26D"
"838","Beige Brown Vy Dk","5F432A"
"839","Beige Brown Dark","7A5B3C"
"840","Beige Brown Med","9D805D"
"841","Beige Brown Light","C0A585"
"842","Beige Brown Vy Lt","DBC9B1"
"844","Beaver Gray Ul Dk","545451"
"869","Hazelnut Brn Vy Dk","835B2D"
"890","Pistachio Grn Ul Dk","174527"
"891","Carnation Dark","FF5773"
"892","Carnation Medium","FF6F88"
"893","Carnation Light","FC90A4"
"894","Carnation Very Light","FFB7C7"
"895","Hunter Green Vy Dk","1B4726"
"898","Coffee Brown Vy Dk","492A0F"
"899","Rose Medium","F27688"
"900","Burnt Orange Dark","D15807"
"902","Garnet Very Dark","6B101F"
"904","Parrot Green Vy Dk","557426"
"905","Parrot Green Dark","628929"
"906","Parrot Green Med","7FA13B"
"907","Parrot Green Light","C4D94A"
"909","Emerald Green Vy Dk","156F44"
"910","Emerald Green Dark","187F4F"
"911","Emerald Green Med","189159"
"912","Emerald Green Light","1BA76A"
"913","Nile Green Medium","6DC291"
"915","Plum Dark","820E4D"
"917","Plum Medium","9B1D62"
"918","Red Copper Dark","82412C"
"919","Red Copper","A64B2F"
"920","Copper Medium","AC5C35"
"921","Copper","C66D35"
"922","Copper Light","E27B3A"
"924","Gray Green Vy Dark","566D6E"
"926","Gray Green Medium","96ABAB"
"927","Gray Green Light","BDC9C7"
"928","Gray Green Vy Lt","DDE3E0"
"930","Antique Blue Dark","455D73"
"931","Antique Blue Medium","6A8799"
"932","Antique Blue Light","A2B9C7"
"934","Black Avocado Green","3A3F2E"
"935","Avocado Green Dk","4A5037"
"936","Avocado Grn V Dk","5B643E"
"937","Avocado Green Med","627045"
"938","Coffee Brown Ul Dk","3E2718"
"939","Navy Blue Very Dark","1B2737"
"943","Medium Aquamarine","28AE8C"
"945","Tawny","FBD3AC"
"946","Burnt Orange Med","EB6307"
"947","Burnt Orange","FF7B31"
"948","Peach Very Light","FEE8DD"
"950","Desert Sand Light","EED1BD"
"951","Tawny Light","FFE2CA"
"954","Nile Green","88C9A1"
"955","Nile Green Light","A2DFBB"
"956","Geranium","FF6476"
"957","Geranium Pale","FD9FA8"
"958","Sea Green Dark","3CBAA0"
"959","Sea Green Medium","59CBAF"
"961","Dusty Rose Dark","CF7A7A"
"962","Dusty Rose Medium","E8969B"
"963","Dusty Rose Ul Vy Lt","FFD3D6"
"964","Sea Green Light","A9E3D3"
"966","Jade Ultra Vy Lt","B8DFC7"
"970","Pumpkin Light","F78B13"
"971","Pumpkin","F67F00"
"972","Canary Deep","FFB515"
"973","Canary Bright","FFE300"
"975","Golden Brown Dk","914E14"
"976","Golden Brown Med","C28142"
"977","Golden Brown Light","DC9C55"
"986","Forest Green Vy Dk","405E34"
"987","Forest Green Dark","587744"
"988","Forest Green Med","73964B"
"989","Forest Green","8DAC5A"
"991","Aquamarine Dark","477874"
"992","Aquamarine","6FC2AA"
"993","Aquamarine Light","90D5BF"
"995","Electric Blue Dark","2697C8"
"996","Electric Blue Medium","30C1F1"
"3011","Khaki Green Dark","897F54"
"3012","Khaki Green Med","A59C6E"
"3013","Khaki Green Light","B9B28A"
"3021","Brown Gray Vy Dk","4C453B"
"3022","Brown Gray Med","8D8678"
"3023","Brown Gray Light","B1AA9A"
"3024","Brown Gray Vy Lt","ECEAE4"
"3031","Mocha Brown Vy Dk","4B3D2E"
"3032","Mocha Brown Med","B29D7C"
"3033","Mocha Brown Vy Lt","E3D8C8"
"3041","Antique Violet Med","957084"
"3042","Antique Violet Lt","B7A0AC"
"3045","Yellow Beige Dk","BC9C58"
"3046","Yellow Beige Med","D7C085"
"3047","Yellow Beige Lt","E7DDB8"
"3051","Green Gray Dark","5F6744"
"3052","Green Gray Med","899065"
"3053","Green Gray","9CA584"
"3064","Desert Sand","C48E6D"
"3072","Beaver Gray Vy Lt","E8E6E3"
"3078","Golden Yellow Vy Lt","FFF6C8"
"3325","Baby Blue Light","B8D4E8"
"3326","Rose Light","FBB3B9"
"3328","Salmon Dark","E36D73"
"3340","Apricot Medium","FF896E"
"3341","Apricot","FCAB93"
"3345","Hunter Green Dark","2B552C"
"3346","Hunter Green","406B42"
"3347","Yellow Green Med","71903F"
"3348","Yellow Green Lt","CCDD9A"
"3350","Dusty Rose Ultra Dk","BC4365"
"3354","Dusty Rose Light","E4A6A5"
"3362","Pine Green Dark","5E6F48"
"3363","Pine Green Med","728C58"
"3364","Pine Green","839B67"
"3371","Black Brown","1E120B"
"3607","Plum Light","C54989"
"3608","Plum Very Light","EA91BC"
"3609","Plum Ultra Light","F4AED0"
"3685","Mauve Very Dark","883853"
"3687","Mauve","C7697C"
"3688","Mauve Medium","E8A7AF"
"3689","Mauve Light","FBC5CC"
"3705","Melon Dark","FF7B88"
"3706","Melon Medium","FFADB5"
"3708","Melon Light","FFCCD2"
"3712","Salmon Medium","F18787"
"3713","Salmon Very Light","FFE2E2"
"3716","Dusty Rose Med Vy Lt","FFBDC7"
"3721","Shell Pink Dark","A1494D"
"3722","Shell Pink Med","BC6B63"
"3726","Antique Mauve Dark","9D5B6C"
"3727","Antique Mauve Lt","DBA8B3"
"3731","Dusty Rose Very Dark","DA6677"
"3733","Dusty Rose","E8899C"
"3740","Antique Violet Dark","785063"
"3743","Antique Violet Vy Lt","D7CDD3"
"3746","Blue Violet Dark","7764A1"
"3747","Blue Violet Vy Lt","D3D4E8"
"3750","Antique Blue Vy Dk","384C5B"
"3752","Antique Blue Vy Lt","C7D4DE"
"3753","Antique Blue Ul Vy Lt","DBE4EC"
"3755","Baby Blue","93B8D4"
"3756","Baby Blue Ul Vy Lt","EEFBFF"
"3760","Wedgwood Med","3E8A9E"
"3761","Sky Blue Light","ACD8E2"
"3765","Peacock Blue Vy Dk","347C8B"
"3766","Peacock Blue Lt","99C8CE"
"3768","Gray Green Dark","657F7C"
"3770","Tawny Vy Light","FFF5EB"
"3771","Terra Cotta Ul Vy Lt","F4C1A8"
"3772","Desert Sand Vy Dk","A07053"
"3773","Desert Sand Med","C69272"
"3774","Desert Sand Vy Lt","F5E5D5"
"3776","Mahogany Light","CF7339"
"3777","Terra Cotta Vy Dk","863127"
"3778","Terra Cotta Light","D98978"
"3779","Rosewood Ul Vy Lt","F8C8B7"
"3781","Mocha Brown Dark","6B5841"
"3782","Mocha Brown Lt","D2C6AC"
"3787","Brown Gray Dark","625B4C"
"3790","Beige Gray Ul Dk","6B5F4F"
"3799","Pewter Gray Vy Dk","424242"
"3801","Christmas Red Lt","E74956"
"3802","Antique Mauve Vy Dk","714150"
"3803","Mauve Dark","9B2F50"
"3804","Cyclamen Pink Dark","E02876"
"3805","Cyclamen Pink","F3478A"
"3806","Cyclamen Pink Lt","FF7FAE"
"3807","Cornflower Blue","607196"
"3808","Turquoise Ul Vy Dk","366A6C"
"3809","Turquoise Vy Dark","3F8585"
"3810","Turquoise Dark","489B99"
"3811","Turquoise Very Light","BCE3E1"
"3812","Sea Green Vy Dk","2F9688"
"3813","Blue Green Lt","B8D9CD"
"3814","Aquamarine","508A7D"
"3815","Celadon Green Dk","477966"
"3816","Celadon Green","65A085"
"3817","Celadon Green Lt","99C4AA"
"3818","Emerald Grn Ul V Dk","115E36"
"3819","Moss Green Lt","E0E668"
"3820","Straw Dark","DFB53E"
"3821","Straw","F3C953"
"3822","Straw Light","F6DC74"
"3823","Yellow Ultra Pale","FFFDE3"
"3824","Apricot Light","FECAB8"
"3825","Pumpkin Pale","FDBE7C"
"3826","Golden Brown","AD7133"
"3827","Golden Brown Pale","F7C37B"
"3828","Hazelnut Brown","B78556"
"3829","Old Gold Very Dark","AA8106"
"3830","Terra Cotta","BC6144"
"3831","Raspberry Dark","B32E49"
"3832","Raspberry Medium","DB4B65"
"3833","Raspberry Light","EA7085"
"3834","Grape Dark","723A5A"
"3835","Grape Medium","945F80"
"3836","Grape Light","BA8AA2"
"3837","Lavender Ul Dk","6C3461"
"3838","Lavender Blue Dark","5C73A3"
"3839","Lavender Blue Med","7B92BB"
"3840","Lavender Blue Light","B0C0DD"
"3841","Baby Blue Pale","CDDFEF"
"3842","Wedgwood Vry Dk","2C6478"
"3843","Electric Blue","14ADCE"
"3844","Turquoise Bright Dk","12A5AE"
"3845","Turquoise Bright Med","04C2CA"
"3846","Turquoise Bright Lt","06E5E5"
"3847","Teal Green Dark","347C73"
"3848","Teal Green Med","559289"
"3849","Teal Green Light","52B89F"
"3850","Bright Green Dk","388F79"
"3851","Bright Green Lt","49B399"
"3852","Straw Very Dark","CD9D1A"
"3853","Autumn Gold Dk","F29746"
"3854","Autumn Gold Med","F2AB63"
"3855","Autumn Gold Lt","FAD396"
"3856","Mahogany Ul Vy Lt","FFCFA4"
"3857","Rosewood Dark","6A312E"
"3858","Rosewood Med","964843"
"3859","Rosewood Light","BA8273"
"3860","Cocoa","7E5B52"
"3861","Cocoa Light","A6857B"
"3862","Mocha Beige Dark","8A7155"
"3863","Mocha Beige Med","A89070"
"3864","Mocha Beige Light","CBB99A"
"3865","Winter White","FAF8F5"
"3866","Mocha Brn Ul Vy Lt","FAF6EE"
